Book_ID,Issued,Title,Authors,Genres
9075,2005-10-01,Rico and Wiseli,"Spyri, Johanna, 1827-1901; Brooks, Louise, 1835-1892 [Translator]",Children's Literature
9077,2005-10-01,"The Tragicall Historie of Hamlet, Prince of DenmarkeThe First ('Bad') Quarto","Shakespeare, William, 1564-1616",Best Books Ever Listings
9078,2005-10-01,"Sanders' Union Fourth ReaderEmbracing a Full Exposition of the Principles of Rhetorical Reading; with Numerous Exercises for Practice, Both in Prose and Poetry, Various in Style, and Carefully Adapted to the Purposes of Teaching in Schools of Every Grade","Sanders, Charles W. (Charles Walton), 1805-1889",Children's Instructional Books
9080,2005-10-01,The Children's Own Longfellow,"Longfellow, Henry Wadsworth, 1807-1882",Children's Literature
9097,2004-11-13,"Robert's Rules of Order
Pocket Manual of Rules of Order for Deliberative Assemblies","Robert, Henry M. (Henry Martyn), 1837-1923",Reference
9101,2005-10-01,"Domestic Cookery, Useful Receipts, and Hints to Young Housekeepers","Lea, Elizabeth E. (Elizabeth Ellicott), 1793-1858",Cookbooks and Cooking
9104,2005-10-01,The Naval War of 1812Or the History of the United States Navy during the Last War with Great Britain to Which Is Appended an Account of the Battle of New Orleans,"Roosevelt, Theodore, 1858-1919",United States; Napoleonic
9106,2005-10-01,"The Elson Readers, Book 5","Elson, William H. (William Harris), 1856-1935; Keck, Christine M.",Children's Instructional Books
9162,2005-10-01,Becket and other plays,"Tennyson, Alfred Tennyson, Baron, 1809-1892",One Act Plays
9172,2005-10-01,A Study of Association in Insanity,"Kent, Grace Helen, 1875-1973; Rosanoff, A. J. (Aaron Joshua), 1878-1943",Psychology
9173,2005-10-01,"Youth: Its Education, Regimen, and Hygiene","Hall, G. Stanley (Granville Stanley), 1844-1924",Education
9188,2005-10-01,Aboriginal American Authors,"Brinton, Daniel G. (Daniel Garrison), 1837-1899",Native America
9194,2005-10-01,The Second Deluge,"Serviss, Garrett Putman, 1851-1929",Science Fiction
9201,2005-11-01,"Sunday at Home (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9202,2005-11-01,"Little Annie's Ramble (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9205,2005-11-01,"Sights from a Steeple (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9206,2005-11-01,"The Toll Gatherer's Day (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9207,2005-11-01,"The Vision of the Fountain (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9208,2005-11-01,"Fancy's Show-Box (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9209,2005-11-01,"The Haunted Mind (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9210,2005-11-01,"The Village Uncle (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9211,2005-11-01,"The Sister Years (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9212,2005-11-01,"Snow Flakes (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9213,2005-11-01,"The Seven Vagabonds (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9214,2005-11-01,"The White Old Maid (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9215,2005-11-01,"Chippings with a Chisel (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9216,2005-11-01,"Beneath an Umbrella (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9217,2005-11-01,"The Lily's Quest (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9218,2005-11-01,"Footprints on the Sea-Shore (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9219,2005-11-01,"Edward Fane's Rosebud (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9220,2005-11-01,"The Threefold Destiny (From ""Twice Told Tales"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9255,2005-11-01,"The Gorgon's Head
(From: ""A Wonder-Book for Girls and Boys"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9256,2005-11-01,"The Paradise of Children
(From: ""A Wonder-Book for Girls and Boys"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9257,2005-11-01,"The Three Golden Apples
(From: ""A Wonder-Book for Girls and Boys"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9258,2005-11-01,"The Miraculous Pitcher
(From: ""A Wonder-Book for Girls and Boys"")","Hawthorne, Nathaniel, 1804-1864",Children's Literature
9267,2005-11-01,"Chip, of the Flying U","Bower, B. M., 1871-1940",Western
9297,2005-11-01,The Orange-Yellow Diamond,"Fletcher, J. S. (Joseph Smith), 1863-1935",Detective Fiction
9304,2005-11-01,Initiation into Philosophy,"Faguet, Émile, 1847-1916; Gordon, Home, 1871-1956 [Translator]",Philosophy
9310,2005-11-01,Casanova's Homecoming,"Schnitzler, Arthur, 1862-1931; Paul, Cedar, 1880-1972 [Translator]; Paul, Eden, 1865-1944 [Translator]",Banned Books from Anne Haight's list
9368,2005-11-01,Welsh Fairy Tales,"Griffis, William Elliot, 1843-1928","Folklore; Children's Myths, Fairy Tales, etc."
9371,2005-11-01,The Praise of Folly,"Erasmus, Desiderius, 1469-1536; Wilson, John, 1626-1696 [Translator]",Banned Books from Anne Haight's list
9377,2005-11-01,"London Pride, Or, When the World Was Younger","Braddon, M. E. (Mary Elizabeth), 1835-1915",Historical Fiction
9380,2005-11-01,A Nonsense Anthology,"Wells, Carolyn, 1862-1942 [Compiler]",Children's Verse
9383,2005-11-01,Moni the Goat-Boy,"Spyri, Johanna, 1827-1901; Copeland, Charles, 1858-1929 [Illustrator]; Dole, Helen B. [Translator]",Children's Literature
9384,2005-11-01,The Comrade in White,"Leathem, William Harvey, 1875-1937; Black, Hugh, 1868-1953 [Author of introduction, etc.]",World War I
9388,2005-11-01,The Red Flower: Poems Written in War Time,"Van Dyke, Henry, 1852-1933",World War I
9407,2005-12-01,The Little Colonel,"Johnston, Annie F. (Annie Fellows), 1863-1931",Children's Book Series
9408,2005-12-01,By Water to the Columbian Exposition,"Wisthaler, Johanna Sara, 1868-",Women's Travel Journals
9410,2005-12-01,Helen of the Old House,"Wright, Harold Bell, 1872-1944","Bestsellers, American, 1895-1923"
9411,2005-12-01,"Legends of the GodsThe Egyptian Texts, edited with Translations","Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934",Mythology; Egypt; Paganism
9415,2005-12-01,Olaf the Glorious: A Story of the Viking Age,"Leighton, Robert, 1859-1934",Historical Fiction
9441,2005-12-01,Helbeck of Bannisdale — Volume I,"Ward, Humphry, Mrs., 1851-1920","Bestsellers, American, 1895-1923"
9442,2005-12-01,Helbeck of Bannisdale — Volume II,"Ward, Humphry, Mrs., 1851-1920","Bestsellers, American, 1895-1923"
9443,2004-08-10,Samantha among the Brethren — Volume 1,"Holley, Marietta, 1836-1926",Humor
9444,2004-08-10,Samantha among the Brethren — Volume 2,"Holley, Marietta, 1836-1926",Humor
9445,2004-08-10,Samantha among the Brethren — Volume 3,"Holley, Marietta, 1836-1926",Humor
9446,2004-08-10,Samantha among the Brethren — Volume 4,"Holley, Marietta, 1836-1926",Humor
